Idx,Type,Region,Name,Longitude,Latitude,Connections,MAC,IP
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None
BPA,Region,BPA,BPA,45.6373,-121.97,None,None,None
VRCC,Region,VRCC,VRCC,45.63,-122.67,None,None,None
IPCO,Region,IPCO,IPCO,43.61,-116.21,None,None,None
LRCC,Region,LRCC,LRCC,40.015,-105.27,None,None,None
WAPA,Region,WAPA,WAPA,39.704,-105.081,None,None,None
CAIS,Region,CAIS,CAIS,38.678,-121.176,None,None,None
PGE,Region,PGE,PGE,38.581,-121.494,None,None,None
SCE,Region,SCE,SCE,34.08,-118.07,None,None,None
LADW,Region,LADW,LADW,34.052,-118.243,None,None,None
SDGE,Region,SDGE,SDGE,32.715,-117.161,None,None,None
APS,Region,APS,APS,33.538,-112.186,None,None,None
SRP,Region,SRP,SRP,33.44,-112.074,None,None,None
PNM,Region,PNM,PNM,35.084,-106.65,None,None,None
INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,S-AESO,None,None
S-AESO,Switch,AESO,AESO,53.93,-116.57,S-BCTC,7a:43:4f:ca:0d:23,None
S-BCTC,Switch,BCTC,BCTC,57.72,-127.64,S-AESO S-VRCC,92:53:a7:1e:98:55,None
S-BPA,Switch,BPA,BPA,45.6373,-121.97,S-VRCC,7e:79:01:74:7b:f1,None
S-VRCC,Switch,VRCC,VRCC,45.63,-122.67,S-LRCC S-BPA S-IPCO S-BCTC S-CAIS,72:a0:ec:58:b4:64,None
S-IPCO,Switch,IPCO,IPCO,43.61,-116.21,S-VRCC,6a:3f:cc:21:bb:01,None
S-LRCC,Switch,LRCC,LRCC,40.015,-105.27,S-VRCC S-WAPA,16:d7:c3:d2:9c:34,None
S-WAPA,Switch,WAPA,WAPA,39.704,-105.081,S-LRCC,b6:5f:39:75:f5:b9,None
S-CAIS,Switch,CAIS,CAIS,38.678,-121.176,S-VRCC S-PGE S-SCE,52:31:94:6c:12:6c,None
S-PGE,Switch,PGE,PGE,38.581,-121.494,S-CAIS,be:dd:b5:a9:5e:30,None
S-SCE,Switch,SCE,SCE,34.08,-118.07,S-CAIS S-LADW S-SDGE S-APS,72:5e:30:03:ac:dd,None
S-LADW,Switch,LADW,LADW,34.052,-118.243,S-SCE,f6:5c:95:75:da:76,None
S-SDGE,Switch,SDGE,SDGE,32.715,-117.161,S-SCE,aa:a4:86:81:48:1e,None
S-APS,Switch,APS,APS,33.538,-112.186,S-SCE S-SRP,f6:e7:cd:a9:96:7f,None
S-SRP,Switch,SRP,SRP,33.44,-112.074,S-APS S-PNM,72:83:f2:39:1c:5b,None
S-PNM,Switch,PNM,PNM,35.084,-106.65,S-SRP,42:49:42:ac:7d:6e,None
C-AESO,PDC,AESO,AESO,53.93,-116.57,S-AESO,None,192.168.1.2
C-BCTC,PDC,BCTC,BCTC,57.72,-127.64,S-BCTC,None,192.168.1.3
C-BPA,PDC,BPA,BPA,45.6373,-121.97,S-BPA,None,192.168.1.4
C-VRCC,PDC,VRCC,VRCC,45.63,-122.67,S-VRCC,None,192.168.1.5
C-IPCO,PDC,IPCO,IPCO,43.61,-116.21,S-IPCO,None,192.168.1.6
C-LRCC,PDC,LRCC,LRCC,40.015,-105.27,S-LRCC,None,192.168.1.7
C-WAPA,PDC,WAPA,WAPA,39.704,-105.081,S-WAPA,None,192.168.1.8
C-CAIS,PDC,CAIS,CAIS,38.678,-121.176,S-CAIS,None,192.168.1.9
C-PGE,PDC,PGE,PGE,38.581,-121.494,S-PGE,None,192.168.1.10
C-SCE,PDC,SCE,SCE,34.08,-118.07,S-SCE,None,192.168.1.11
C-LADW,PDC,LADW,LADW,34.052,-118.243,S-LADW,None,192.168.1.12
C-SDGE,PDC,SDGE,SDGE,32.715,-117.161,S-SDGE,None,192.168.1.13
C-APS,PDC,APS,APS,33.538,-112.186,S-APS,None,192.168.1.14
C-SRP,PDC,SRP,SRP,33.44,-112.074,S-SRP,None,192.168.1.15
C-PNM,PDC,PNM,PNM,35.084,-106.65,S-PNM,None,192.168.1.16
DEVERS,PMU,AESO,DEVERS,33.937268,-116.577985,S-AESO,None,192.168.1.17
PALOVRD2,PMU,APS,PALOVRD2,33.386047,-112.860397,S-APS,None,192.168.1.18
PALOVRDE,PMU,APS,PALOVRDE,33.185047,-112.659397,S-APS,None,192.168.1.19
WESTWING,PMU,APS,WESTWING,33.706718,-112.322033,S-APS,None,192.168.1.20
INTERMT,PMU,APS,INTERMT,39.54816,-112.52797,S-APS,None,192.168.1.21
INTERM1G,PMU,APS,INTERM1G,39.49616,-112.72797,S-APS,None,192.168.1.22
GARRISON,PMU,APS,GARRISON,46.51144,-112.88531,S-APS,None,192.168.1.23
ADDBUS1,PMU,APS,ADDBUS1,46.31144,-112.88531,S-APS,None,192.168.1.24
CANADG1,PMU,BPA,CANADG1,49.869314,-122.150895,S-BPA,None,192.168.1.25
CANADA,PMU,BPA,CANADA,50.969314,-122.150895,S-BPA,None,192.168.1.26
CANALB,PMU,BPA,CANALB,51.979314,-122.150895,S-BPA,None,192.168.1.27
CA230,PMU,BPA,CA230,54.973192,-121.924221,S-BPA,None,192.168.1.28
CMAINGM,PMU,BPA,CMAINGM,56.276212,-122.2137,S-BPA,None,192.168.1.29
BIGEDDY4,PMU,BPA,BIGEDDY4,45.806833,-122.113785,S-BPA,None,192.168.1.30
NORTH,PMU,BPA,NORTH,47.624154,-122.219492,S-BPA,None,192.168.1.31
CORTINA,PMU,BPA,CORTINA,39.120428,-122.073631,S-BPA,None,192.168.1.32
COTWDPGE,PMU,BPA,COTWDPGE,40.398031,-122.263453,S-BPA,None,192.168.1.33
GLENN,PMU,BPA,GLENN,39.777745,-122.142965,S-BPA,None,192.168.1.34
LOGANCR,PMU,BPA,LOGANCR,39.539598,-122.262993,S-BPA,None,192.168.1.35
MOSSLAND,PMU,BPA,MOSSLAND,36.807243,-121.779037,S-BPA,None,192.168.1.36
OLINDA,PMU,BPA,OLINDA,39.56745,-122.276225,S-BPA,None,192.168.1.37
ROUNDMT,PMU,BPA,ROUNDMT,40.807689,-122.135718,S-BPA,None,192.168.1.38
ROUNDMT3,PMU,BPA,ROUNDMT3,40.806689,-121.935718,S-BPA,None,192.168.1.39
ROUNDMT4,PMU,BPA,ROUNDMT4,41.008689,-121.935718,S-BPA,None,192.168.1.40
OLINDA1,PMU,BPA,OLINDA1,39.36745,-122.276225,S-BPA,None,192.168.1.41
OLINDA2,PMU,BPA,OLINDA2,39.16745,-122.276225,S-BPA,None,192.168.1.42
OLINDA3,PMU,BPA,OLINDA3,38.96745,-122.276225,S-BPA,None,192.168.1.43
OLINDA4,PMU,BPA,OLINDA4,38.76745,-122.276225,S-BPA,None,192.168.1.44
ROUND3,PMU,BPA,ROUND3,40.657689,-121.850718,S-BPA,None,192.168.1.45
ROUND4,PMU,BPA,ROUND4,40.454689,-121.850718,S-BPA,None,192.168.1.46
TABLE3,PMU,BPA,TABLE3,39.655494,-121.744407,S-BPA,None,192.168.1.47
TABLE4,PMU,BPA,TABLE4,39.351494,-121.744407,S-BPA,None,192.168.1.48
BIGEDDY3,PMU,CAIS,BIGEDDY3,45.606833,-121.114785,S-CAIS,None,192.168.1.49
CELILO,PMU,CAIS,CELILO,45.596416,-121.312202,S-CAIS,None,192.168.1.50
CELILOCA,PMU,CAIS,CELILOCA,45.295416,-121.114202,S-CAIS,None,192.168.1.51
JOHNDAY,PMU,CAIS,JOHNDAY,45.913936,-120.692286,S-CAIS,None,192.168.1.52
JOHNDAY3,PMU,CAIS,JOHNDAY3,45.713936,-120.693974,S-CAIS,None,192.168.1.53
NORTHG3,PMU,CAIS,NORTHG3,47.954899,-120.997945,S-CAIS,None,192.168.1.54
GRIZZLY,PMU,CAIS,GRIZZLY,44.48235,-121.019484,S-CAIS,None,192.168.1.55
MALIN,PMU,CAIS,MALIN,42.00686,-121.316546,S-CAIS,None,192.168.1.56
SUMMERL,PMU,CAIS,SUMMERL,43.013135,-120.956476,S-CAIS,None,192.168.1.57
GRIZZLY1,PMU,CAIS,GRIZZLY1,44.06835,-120.79484,S-CAIS,None,192.168.1.58
GRIZZLY2,PMU,CAIS,GRIZZLY2,43.55835,-120.93484,S-CAIS,None,192.168.1.59
MALIN1,PMU,CAIS,MALIN1,42.43835,-121.216546,S-CAIS,None,192.168.1.60
MALIN2,PMU,CAIS,MALIN2,42.93835,-121.156546,S-CAIS,None,192.168.1.61
GRIZZLY3,PMU,CAIS,GRIZZLY3,44.06835,-121.215484,S-CAIS,None,192.168.1.62
GRIZZLY4,PMU,CAIS,GRIZZLY4,43.55835,-121.135484,S-CAIS,None,192.168.1.63
GRIZZLY5,PMU,CAIS,GRIZZLY5,43.04835,-121.255484,S-CAIS,None,192.168.1.64
GRIZZLY6,PMU,CAIS,GRIZZLY6,42.63835,-121.175484,S-CAIS,None,192.168.1.65
GRIZZLY7,PMU,CAIS,GRIZZLY7,44.06835,-121.013484,S-CAIS,None,192.168.1.66
GRIZZLY8,PMU,CAIS,GRIZZLY8,43.55835,-120.733484,S-CAIS,None,192.168.1.67
GRIZZLY9,PMU,CAIS,GRIZZLY9,43.04835,-121.053484,S-CAIS,None,192.168.1.68
GRIZZLYA,PMU,CAIS,GRIZZLYA,42.63835,-120.973484,S-CAIS,None,192.168.1.69
DIABLO,PMU,CAIS,DIABLO,35.2162,-120.847567,S-CAIS,None,192.168.1.70
DIABLO1,PMU,CAIS,DIABLO1,35.2152,-120.900567,S-CAIS,None,192.168.1.71
GATES,PMU,CAIS,GATES,36.202099,-120.129849,S-CAIS,None,192.168.1.72
LOSBANOS,PMU,CAIS,LOSBANOS,37.052929,-121.021929,S-CAIS,None,192.168.1.73
TABLEMT,PMU,CAIS,TABLEMT,39.555494,-121.24,S-CAIS,None,192.168.1.74
TEVATR,PMU,CAIS,TEVATR,37.954721,-121.18379,S-CAIS,None,192.168.1.75
TEVATR3,PMU,CAIS,TEVATR3,38.406721,-121.10879,S-CAIS,None,192.168.1.76
TEVATR2,PMU,CAIS,TEVATR2,38.906721,-121.27379,S-CAIS,None,192.168.1.77
TEVATR4,PMU,CAIS,TEVATR4,38.656721,-121.23979,S-CAIS,None,192.168.1.78
TEVATR1,PMU,CAIS,TEVATR1,38.154721,-121.18379,S-CAIS,None,192.168.1.79
TEVATR23,PMU,CAIS,TEVATR23,37.954721,-121.13079,S-CAIS,None,192.168.1.80
TEVATR32,PMU,CAIS,TEVATR32,37.754721,-121.23779,S-CAIS,None,192.168.1.81
GATES1,PMU,CAIS,GATES1,36.001099,-120.129849,S-CAIS,None,192.168.1.82
MALIN3,PMU,CAIS,MALIN3,41.80686,-121.316546,S-CAIS,None,192.168.1.83
MALIN4,PMU,CAIS,MALIN4,41.60186,-121.316546,S-CAIS,None,192.168.1.84
MALIN5,PMU,CAIS,MALIN5,41.80686,-121.116546,S-CAIS,None,192.168.1.85
MALIN6,PMU,CAIS,MALIN6,41.60186,-121.116546,S-CAIS,None,192.168.1.86
ADDBUS2,PMU,CAIS,ADDBUS2,39.056721,-121.23979,S-CAIS,None,192.168.1.87
MIDPOINT,PMU,IPCO,MIDPOINT,42.934919,-114.419206,S-IPCO,None,192.168.1.88
MIDPOINT3,PMU,IPCO,MIDPOINT3,42.731919,-114.419206,S-IPCO,None,192.168.1.89
MOHAVE,PMU,IPCO,MOHAVE,34.947654,-114.595307,S-IPCO,None,192.168.1.90
