Idx,Type,Region,Name,Longitude,Latitude,MAC,IP,PMU_IDX,From,To,Delay,BW,Loss,Jitter,Status
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None,None,None,None,None,None,None,1
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None,None,None,None,None,None,None,1
S_AESO,Switch,AESO,AESO,53.93,-116.57,7a:43:4f:ca:0d:23,None,None,None,None,None,None,None,None,1
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,92:53:a7:1e:98:55,None,None,None,None,None,10,None,None,1
C_AESO,PDC,AESO,C_AESO,53.93,-116.57,None,192.168.1.2,None,None,None,None,None,None,None,1
C_BCTC,PDC,BCTC,C_BCTC,57.72,-127.64,None,192.168.1.3,None,None,None,None,None,None,None,1
DEVERS1,PMU,AESO,DEVERS1,33.937268,-116.577985,None,192.168.1.17,1,None,None,None,None,None,None,1
DEVERS2,PMU,AESO,DEVERS2,33.937268,-116.577985,None,192.168.1.18,2,None,None,None,None,None,None,1
DEVERS3,PMU,AESO,DEVERS3,33.937268,-116.577985,None,192.168.1.19,3,None,None,None,None,None,None,1
DEVERS4,PMU,AESO,DEVERS4,33.937268,-116.577985,None,192.168.1.20,4,None,None,None,None,None,None,1
DEVERS5,PMU,AESO,DEVERS5,33.937268,-116.577985,None,192.168.1.21,5,None,None,None,None,None,None,1
INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,None,None,None,None,S_AESO,None,None,None,None,1
L_BCTC_AESO,Link,None,L_BCTC_AESO,None,None,None,None,None,S_BCTC,S_AESO,None,10,None,None,1
L_C_AESO,Link,AESO,L_C_AESO,None,None,None,None,None,C_AESO,S_AESO,None,None,None,None,1
L_C_BCTC,Link,BCTC,L_C_BCTC,None,None,None,None,None,C_BCTC,S_BCTC,None,None,None,None,1
L_DEVERS1,Link,AESO,L_DEVERS1,None,None,None,None,None,DEVERS1,S_AESO,None,None,None,None,1
L_DEVERS2,Link,AESO,L_DEVERS2,None,None,None,None,None,DEVERS2,S_AESO,None,None,None,None,1
L_DEVERS3,Link,AESO,L_DEVERS3,None,None,None,None,None,DEVERS3,S_AESO,None,None,None,None,1
L_DEVERS4,Link,AESO,L_DEVERS4,None,None,None,None,None,DEVERS4,S_AESO,None,None,None,None,1
L_DEVERS5,Link,AESO,L_DEVERS5,None,None,None,None,None,DEVERS5,S_AESO,None,2,None,None,1
