Idx,Type,Region,Name,Longitude,Latitude,MAC,IP,PMU_IDX,From,To,Delay,BW,Loss,Jitter,Status
INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,None,None,None,None,S_AESO,5ms,10,0,None,1
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None,None,None,None,None,None,None,1
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None,None,None,None,None,None,None,1
BPA,Region,BPA,BPA,45.6373,-121.97,None,None,None,None,None,None,None,None,None,1
VRCC,Region,VRCC,VRCC,45.63,-122.67,None,None,None,None,None,None,None,None,None,1
IPCO,Region,IPCO,IPCO,43.61,-116.21,None,None,None,None,None,None,None,None,None,1
LRCC,Region,LRCC,LRCC,40.015,-105.27,None,None,None,None,None,None,None,None,None,1
WAPA,Region,WAPA,WAPA,39.704,-105.081,None,None,None,None,None,None,None,None,None,1
CAIS,Region,CAIS,CAIS,38.678,-121.176,None,None,None,None,None,None,None,None,None,1
PGE,Region,PGE,PGE,38.581,-121.494,None,None,None,None,None,None,None,None,None,1
SCE,Region,SCE,SCE,34.08,-118.07,None,None,None,None,None,None,None,None,None,1
LADW,Region,LADW,LADW,34.052,-118.243,None,None,None,None,None,None,None,None,None,1
SDGE,Region,SDGE,SDGE,32.715,-117.161,None,None,None,None,None,None,None,None,None,1
APS,Region,APS,APS,33.538,-112.186,None,None,None,None,None,None,None,None,None,1
SRP,Region,SRP,SRP,33.44,-112.074,None,None,None,None,None,None,None,None,None,1
PNM,Region,PNM,PNM,35.084,-106.65,None,None,None,None,None,None,None,None,None,1
S_AESO,Switch,AESO,AESO,53.93,-116.57,7a:43:4f:ca:0d:23,None,None,None,None,None,None,None,None,1
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,92:53:a7:1e:98:55,None,None,None,None,None,None,None,None,1
S_BPA,Switch,BPA,BPA,45.6373,-121.97,7e:79:01:74:7b:f1,None,None,None,None,None,None,None,None,1
S_VRCC,Switch,VRCC,VRCC,45.63,-122.67,72:a0:ec:58:b4:64,None,None,None,None,None,None,None,None,1
S_IPCO,Switch,IPCO,IPCO,43.61,-116.21,6a:3f:cc:21:bb:01,None,None,None,None,None,None,None,None,1
S_LRCC,Switch,LRCC,LRCC,40.015,-105.27,16:d7:c3:d2:9c:34,None,None,None,None,None,None,None,None,1
S_WAPA,Switch,WAPA,WAPA,39.704,-105.081,b6:5f:39:75:f5:b9,None,None,None,None,None,None,None,None,1
S_CAIS,Switch,CAIS,CAIS,38.678,-121.176,52:31:94:6c:12:6c,None,None,None,None,None,None,None,None,1
S_PGE,Switch,PGE,PGE,38.581,-121.494,be:dd:b5:a9:5e:30,None,None,None,None,None,None,None,None,1
S_SCE,Switch,SCE,SCE,34.08,-118.07,72:5e:30:03:ac:dd,None,None,None,None,None,None,None,None,1
S_LADW,Switch,LADW,LADW,34.052,-118.243,f6:5c:95:75:da:76,None,None,None,None,None,None,None,None,1
S_SDGE,Switch,SDGE,SDGE,32.715,-117.161,aa:a4:86:81:48:1e,None,None,None,None,None,None,None,None,1
S_APS,Switch,APS,APS,33.538,-112.186,f6:e7:cd:a9:96:7f,None,None,None,None,None,None,None,None,1
S_SRP,Switch,SRP,SRP,33.44,-112.074,72:83:f2:39:1c:5b,None,None,None,None,None,None,None,None,1
S_PNM,Switch,PNM,PNM,35.084,-106.65,42:49:42:ac:7d:6e,None,None,None,None,None,None,None,None,1
L_AESO_BCTC,Link,None,L_AESO_BCTC,None,None,None,None,None,S_AESO,S_BCTC,5ms,10,0,None,1
L_BCTC_VRCC,Link,None,L_BCTC_VRCC,None,None,None,None,None,S_BCTC,S_VRCC,5ms,10,0,None,1
L_BPA_VRCC,Link,None,L_BPA_VRCC,None,None,None,None,None,S_BPA,S_VRCC,5ms,10,0,None,1
L_VRCC_LRCC,Link,None,L_VRCC_LRCC,None,None,None,None,None,S_VRCC,S_LRCC,5ms,10,0,None,1
L_VRCC_IPCO,Link,None,L_VRCC_IPCO,None,None,None,None,None,S_VRCC,S_IPCO,5ms,10,0,None,1
L_VRCC_CAIS,Link,None,L_VRCC_CAIS,None,None,None,None,None,S_VRCC,S_CAIS,5ms,10,0,None,1
L_LRCC_WAPA,Link,None,L_LRCC_WAPA,None,None,None,None,None,S_LRCC,S_WAPA,5ms,10,0,None,1
L_CAIS_PGE,Link,None,L_CAIS_PGE,None,None,None,None,None,S_CAIS,S_PGE,5ms,10,0,None,1
L_CAIS_SCE,Link,None,L_CAIS_SCE,None,None,None,None,None,S_CAIS,S_SCE,5ms,10,0,None,1
L_SCE_LAWD,Link,None,L_SCE_LAWD,None,None,None,None,None,S_SCE,S_LADW,5ms,10,0,None,1
L_SCE_SDGE,Link,None,L_SCE_SDGE,None,None,None,None,None,S_SCE,S_SDGE,5ms,10,0,None,1
L_SCE_APS,Link,None,L_SCE_APS,None,None,None,None,None,S_SCE,S_APS,5ms,10,0,None,1
L_APS_SRP,Link,None,L_APS_SRP,None,None,None,None,None,S_APS,S_SRP,5ms,10,0,None,1
L_SRP_PNM,Link,None,L_SRP_PNM,None,None,None,None,None,S_SRP,S_PNM,5ms,10,0,None,1
C_AESO,PDC,AESO,AESO,53.93,-116.57,None,192.168.1.2,None,None,None,None,None,None,None,1
C_BCTC,PDC,BCTC,BCTC,57.72,-127.64,None,192.168.1.3,None,None,None,None,None,None,None,1
C_BPA,PDC,BPA,BPA,45.6373,-121.97,None,192.168.1.4,None,None,None,None,None,None,None,1
C_VRCC,PDC,VRCC,VRCC,45.63,-122.67,None,192.168.1.5,None,None,None,None,None,None,None,1
C_IPCO,PDC,IPCO,IPCO,43.61,-116.21,None,192.168.1.6,None,None,None,None,None,None,None,1
C_LRCC,PDC,LRCC,LRCC,40.015,-105.27,None,192.168.1.7,None,None,None,None,None,None,None,1
C_WAPA,PDC,WAPA,WAPA,39.704,-105.081,None,192.168.1.8,None,None,None,None,None,None,None,1
C_CAIS,PDC,CAIS,CAIS,38.678,-121.176,None,192.168.1.9,None,None,None,None,None,None,None,1
C_PGE,PDC,PGE,PGE,38.581,-121.494,None,192.168.1.10,None,None,None,None,None,None,None,1
C_SCE,PDC,SCE,SCE,34.08,-118.07,None,192.168.1.11,None,None,None,None,None,None,None,1
C_LADW,PDC,LADW,LADW,34.052,-118.243,None,192.168.1.12,None,None,None,None,None,None,None,1
C_SDGE,PDC,SDGE,SDGE,32.715,-117.161,None,192.168.1.13,None,None,None,None,None,None,None,1
C_APS,PDC,APS,APS,33.538,-112.186,None,192.168.1.14,None,None,None,None,None,None,None,1
C_SRP,PDC,SRP,SRP,33.44,-112.074,None,192.168.1.15,None,None,None,None,None,None,None,1
C_PNM,PDC,PNM,PNM,35.084,-106.65,None,192.168.1.16,None,None,None,None,None,None,None,1
L_C_AESO,Link,AESO,L_C_AESO,None,None,None,None,None,C_AESO,S_AESO,5ms,10,0,None,1
L_C_BCTC,Link,BCTC,L_C_BCTC,None,None,None,None,None,C_BCTC,S_BCTC,5ms,10,0,None,1
L_C_BPA,Link,BPA,L_C_BPA,None,None,None,None,None,C_BPA,S_BPA,5ms,10,0,None,1
L_C_VRCC,Link,VRCC,L_C_VRCC,None,None,None,None,None,C_VRCC,S_VRCC,5ms,10,0,None,1
L_C_IPCO,Link,IPCO,L_C_IPCO,None,None,None,None,None,C_IPCO,S_IPCO,5ms,10,0,None,1
L_C_LRCC,Link,LRCC,L_C_LRCC,None,None,None,None,None,C_LRCC,S_LRCC,5ms,10,0,None,1
L_C_WAPA,Link,WAPA,L_C_WAPA,None,None,None,None,None,C_WAPA,S_WAPA,5ms,10,0,None,1
L_C_CAIS,Link,CAIS,L_C_CAIS,None,None,None,None,None,C_CAIS,S_CAIS,5ms,10,0,None,1
L_C_PGE,Link,PGE,L_C_PGE,None,None,None,None,None,C_PGE,S_PGE,5ms,10,0,None,1
L_C_SCE,Link,SCE,L_C_SCE,None,None,None,None,None,C_SCE,S_SCE,5ms,10,0,None,1
L_C_LADW,Link,LADW,L_C_LADW,None,None,None,None,None,C_LADW,S_LADW,5ms,10,0,None,1
L_C_SDGE,Link,SDGE,L_C_SDGE,None,None,None,None,None,C_SDGE,S_SDGE,5ms,10,0,None,1
L_C_APS,Link,APS,L_C_APS,None,None,None,None,None,C_APS,S_APS,5ms,10,0,None,1
L_C_SRP,Link,SRP,L_C_SRP,None,None,None,None,None,C_SRP,S_SRP,5ms,10,0,None,1
L_C_PNM,Link,PNM,L_C_PNM,None,None,None,None,None,C_PNM,S_PNM,5ms,10,0,None,1
DEVERS,PMU,AESO,DEVERS,33.937268,-116.577985,None,192.168.1.17,1,None,None,None,None,None,None,0
PALOVRD2,PMU,APS,PALOVRD2,33.386047,-112.860397,None,192.168.1.18,2,None,None,None,None,None,None,0
PALOVRDE,PMU,APS,PALOVRDE,33.185047,-112.659397,None,192.168.1.19,3,None,None,None,None,None,None,0
WESTWING,PMU,APS,WESTWING,33.706718,-112.322033,None,192.168.1.20,4,None,None,None,None,None,None,0
INTERMT,PMU,APS,INTERMT,39.54816,-112.52797,None,192.168.1.21,5,None,None,None,None,None,None,0
INTERM1G,PMU,APS,INTERM1G,39.49616,-112.72797,None,192.168.1.22,6,None,None,None,None,None,None,0
GARRISON,PMU,APS,GARRISON,46.51144,-112.88531,None,192.168.1.23,7,None,None,None,None,None,None,0
ADDBUS1,PMU,APS,ADDBUS1,46.31144,-112.88531,None,192.168.1.24,8,None,None,None,None,None,None,0
CANADG1,PMU,BPA,CANADG1,49.869314,-122.150895,None,192.168.1.25,9,None,None,None,None,None,None,0
CANADA,PMU,BPA,CANADA,50.969314,-122.150895,None,192.168.1.26,10,None,None,None,None,None,None,0
CANALB,PMU,BPA,CANALB,51.979314,-122.150895,None,192.168.1.27,11,None,None,None,None,None,None,0
CA230,PMU,BPA,CA230,54.973192,-121.924221,None,192.168.1.28,12,None,None,None,None,None,None,0
CMAINGM,PMU,BPA,CMAINGM,56.276212,-122.2137,None,192.168.1.29,13,None,None,None,None,None,None,0
BIGEDDY4,PMU,BPA,APS,45.806833,-122.113785,None,192.168.1.30,14,None,None,None,None,None,None,0
NORTH,PMU,BPA,NORTH,47.624154,-122.219492,None,192.168.1.31,15,None,None,None,None,None,None,0
CORTINA,PMU,BPA,CORTINA,39.120428,-122.073631,None,192.168.1.32,16,None,None,None,None,None,None,0
COTWDPGE,PMU,BPA,COTWDPGE,40.398031,-122.263453,None,192.168.1.33,17,None,None,None,None,None,None,0
GLENN,PMU,BPA,GLENN,39.777745,-122.142965,None,192.168.1.34,18,None,None,None,None,None,None,0
LOGANCR,PMU,BPA,LOGANCR,39.539598,-122.262993,None,192.168.1.35,19,None,None,None,None,None,None,0
MOSSLAND,PMU,BPA,MOSSLAND,36.807243,-121.779037,None,192.168.1.36,20,None,None,None,None,None,None,0
OLINDA,PMU,BPA,OLINDA,39.56745,-122.276225,None,192.168.1.37,21,None,None,None,None,None,None,0
ROUNDMT,PMU,BPA,ROUNDMT,40.807689,-122.135718,None,192.168.1.38,22,None,None,None,None,None,None,0
ROUNDMT3,PMU,BPA,ROUNDMT3,40.806689,-121.935718,None,192.168.1.39,23,None,None,None,None,None,None,0
ROUNDMT4,PMU,BPA,ROUNDMT4,41.008689,-121.935718,None,192.168.1.40,24,None,None,None,None,None,None,0
OLINDA1,PMU,BPA,OLINDA1,39.36745,-122.276225,None,192.168.1.41,25,None,None,None,None,None,None,0
OLINDA2,PMU,BPA,OLINDA2,39.16745,-122.276225,None,192.168.1.42,26,None,None,None,None,None,None,0
OLINDA3,PMU,BPA,OLINDA3,38.96745,-122.276225,None,192.168.1.43,27,None,None,None,None,None,None,0
OLINDA4,PMU,BPA,OLINDA4,38.76745,-122.276225,None,192.168.1.44,28,None,None,None,None,None,None,0
ROUND3,PMU,BPA,ROUND3,40.657689,-121.850718,None,192.168.1.45,29,None,None,None,None,None,None,0
ROUND4,PMU,BPA,ROUND4,40.454689,-121.850718,None,192.168.1.46,30,None,None,None,None,None,None,0
TABLE3,PMU,BPA,TABLE3,39.655494,-121.744407,None,192.168.1.47,31,None,None,None,None,None,None,0
TABLE4,PMU,BPA,TABLE4,39.351494,-121.744407,None,192.168.1.48,32,None,None,None,None,None,None,0
BIGEDDY3,PMU,CAIS,BIGEDDY3,45.606833,-121.114785,None,192.168.1.49,33,None,None,None,None,None,None,0
CELILO,PMU,CAIS,CELILO,45.596416,-121.312202,None,192.168.1.50,34,None,None,None,None,None,None,0
CELILOCA,PMU,CAIS,CELILOCA,45.295416,-121.114202,None,192.168.1.51,35,None,None,None,None,None,None,0
JOHNDAY,PMU,CAIS,JOHNDAY,45.913936,-120.692286,None,192.168.1.52,36,None,None,None,None,None,None,0
JOHNDAY3,PMU,CAIS,JOHNDAY3,45.713936,-120.693974,None,192.168.1.53,37,None,None,None,None,None,None,0
NORTHG3,PMU,CAIS,NORTHG3,47.954899,-120.997945,None,192.168.1.54,38,None,None,None,None,None,None,0
GRIZZLY,PMU,CAIS,GRIZZLY,44.48235,-121.019484,None,192.168.1.55,39,None,None,None,None,None,None,0
MALIN,PMU,CAIS,MALIN,42.00686,-121.316546,None,192.168.1.56,40,None,None,None,None,None,None,0
SUMMERL,PMU,CAIS,SUMMERL,43.013135,-120.956476,None,192.168.1.57,41,None,None,None,None,None,None,0
