Idx,Type,Region,Name,Longitude,Latitude,MAC,IP,PMU_IDX,From,To,Delay,BW,Loss,Jitter,Status
INTF1,TCHwIntf,AESO,enp4s0f0,53.92,-116.55,None,None,None,None,S_AESO,10ms,None,None,None,1
INTF2,TCHwIntf,AESO,enp4s0f1,53.92,-116.55,None,None,None,None,S_AESO,10ms,None,None,None,1
INTF3,TCHwIntf,AESO,enp4s0f2,53.92,-116.55,None,None,None,None,S_AESO,10ms,None,None,None,1
INTF4,TCHwIntf,AESO,enp4s0f3,53.92,-116.55,None,None,None,None,S_AESO,10ms,None,None,None,1
INTF5,TCHwIntf,AESO,enp0s31f6,53.92,-116.55,None,None,None,None,S_AESO,10ms,None,None,None,1
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None,None,None,None,None,None,None,1
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None,None,None,None,None,None,None,1
S_AESO,Switch,AESO,AESO,53.93,-116.57,7a:43:4f:ca:0d:23,None,None,None,None,None,None,None,None,1
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,92:53:a7:1e:98:55,None,None,None,None,None,None,None,None,1
L_AESO_BCTC,Link,None,L_AESO_BCTC,None,None,None,None,None,S_AESO,S_BCTC,None,None,None,None,1
C_AESO,PDC,AESO,AESO,53.93,-116.57,None,192.168.1.222,None,None,None,None,None,None,None,1
C_BCTC,PDC,BCTC,BCTC,57.72,-127.64,None,192.168.1.223,None,None,None,None,None,None,None,1
L_C_AESO,Link,AESO,L_C_AESO,None,None,None,None,None,C_AESO,S_AESO,None,None,None,None,1
L_C_BCTC,Link,BCTC,L_C_BCTC,None,None,None,None,None,C_BCTC,S_BCTC,None,None,None,None,1
CORONADO,PMU,AESO,CORONADO,34.56004,-109.277313,None,192.168.1.1,1,None,None,None,None,None,None,1
S_CORONADO,Link,PNM,S_CORONADO,None,None,None,None,None,CORONADO,S_AESO,None,None,None,None,1
