#Name=my_network
Type,Region,Name,Longitude,Latitude,Connections,MAC
Region,AESO,AESO,53.93,-116.57,BCTC,7a:43:4f:ca:0d:23
Region,BCTC,BCTC,57.72,-127.64,AESO VRCC,92:53:a7:1e:98:55
Region,BPA,BPA,45.6373,-121.97,VRCC,7e:79:01:74:7b:f1
Region,VRCC,VRCC,45.63,-122.67,LRCC BPA IPCO BCTC CAIS,72:a0:ec:58:b4:64
Region,IPCO,IPCO,43.61,-116.21,VRCC,6a:3f:cc:21:bb:01
Region,LRCC,LRCC,40.015,-105.27,VRCC WAPA,16:d7:c3:d2:9c:34
Region,WAPA,WAPA,39.704,-105.081,LRCC,b6:5f:39:75:f5:b9
Region,CAIS,CAIS,38.678,-121.176,VRCC PGE SCE,52:31:94:6c:12:6c
Region,PGE,PGE,38.581,-121.494,CAIS,be:dd:b5:a9:5e:30
Region,SCE,SCE,34.08,-118.07,CAIS LADW SDGE APS,72:5e:30:03:ac:dd
Region,LADW,LADW,34.052,-118.243,SCE,f6:5c:95:75:da:76
Region,SDGE,SDGE,32.715,-117.161,SCE,aa:a4:86:81:48:1e
Region,APS,APS,33.538,-112.186,SCE SRP,f6:e7:cd:a9:96:7f
Region,SRP,SRP,33.44,-112.074,APS PNM,72:83:f2:39:1c:5b
Region,PNM,PNM,35.084,-106.65,SRP,42:49:42:ac:7d:6e
PMU,PNM,CORONADO,34.56004,-109.277313,EMPTY,EMPTY
PMU,SRP,CHOLLA,34.938385,-110.303798,EMPTY,EMPTY
PMU,SRP,CORONADO3,34.36004,-109.777313,EMPTY,EMPTY
PMU,PNM,CRAIG,40.5152473,-107.546455,EMPTY,EMPTY
PMU,PNM,CRAIG3,40.3142473,-107.546455,EMPTY,EMPTY
PMU,PNM,FOURCORN,36.527401,-108.325669,EMPTY,EMPTY
PMU,PNM,FOURCORN3,36.857401,-108.654569,EMPTY,EMPTY
PMU,PNM,FCNGN4CC,36.687401,-108.486669,EMPTY,EMPTY
PMU,PNM,FOURCORN4,36.856401,-108.325669,EMPTY,EMPTY
PMU,PNM,HAYDEN,40.487041,-107.185575,EMPTY,EMPTY
PMU,SRP,NAVAJO,36.903901,-111.390408,EMPTY,EMPTY
PMU,SRP,NAVAJO2,36.702901,-111.390408,EMPTY,EMPTY
PMU,SRP,MOENKOPI,35.832561,-111.448566,EMPTY,EMPTY
PMU,APS,PALOVRD2,33.386047,-112.860397,EMPTY,EMPTY
PMU,APS,PALOVRDE,33.185047,-112.659397,EMPTY,EMPTY
PMU,PNM,SANJUAN,37.105571,-108.243555,EMPTY,EMPTY
PMU,PNM,SJUANG4,37.104154,-108.441191,EMPTY,EMPTY
PMU,APS,WESTWING,33.706718,-112.322033,EMPTY,EMPTY
PMU,SRP,NAVAJO1,37.103549,-111.590816,EMPTY,EMPTY
PMU,SRP,NAVAJO2,36.703539,-111.190816,EMPTY,EMPTY
PMU,SRP,NAVAJO3,37.103559,-111.190816,EMPTY,EMPTY
PMU,SRP,NAVAJO4,36.703549,-111.590806,EMPTY,EMPTY
PMU,SRP,MOENKOPI3,36.033561,-111.648566,EMPTY,EMPTY
PMU,SRP,MOENKOP2,35.631561,-111.248566,EMPTY,EMPTY
PMU,SRP,MOENKOP3,36.032561,-111.249566,EMPTY,EMPTY
PMU,SRP,MOENKOP4,35.732561,-111.647566,EMPTY,EMPTY
PMU,PNM,FOURCOR1,36.525401,-108.655669,EMPTY,EMPTY
PMU,PNM,FOURCOR2,36.857401,-108.323669,EMPTY,EMPTY
PMU,BPA,CANADG1,49.869314,-122.150895,EMPTY,EMPTY
